# Simple Text Format
# Sampling Rate (Hz):= 100.00
# Resolution:= 0
# Units:= m/s^2
# Labels:= acc_x	acc_y	acc_z
0.35693	-1.00684	0.22021
0.33691	-0.99805	0.24268
0.33154	-0.97119	0.24707
0.33691	-0.98535	0.23682
0.34082	-0.94824	0.22412
0.36914	-0.94043	0.21875
0.3501	-0.91846	0.20557
0.38623	-0.90576	0.20215
0.37354	-0.88867	0.20459
0.35107	-0.87158	0.18701
0.33447	-0.87207	0.1792
0.33936	-0.84912	0.19287
0.33838	-0.84131	0.20068
0.30566	-0.84131	0.20312
0.31104	-0.85107	0.21729
0.31982	-0.86377	0.21533
0.31641	-0.86377	0.2124
0.30713	-0.86328	0.20312
0.29687	-0.85742	0.19189
0.29687	-0.84619	0.19775
0.22119	-0.82666	0.21338
0.31348	-0.83936	0.21973
0.31689	-0.8042	0.21484
0.29687	-0.78955	0.15576
0.32422	-0.79736	0.16309
0.2998	-0.80664	0.16162
0.30957	-0.80322	0.17529
0.28125	-0.78418	0.125
0.23437	-0.75244	0.16211
0.22656	-0.76904	0.19141
0.30127	-0.7959	0.18701
0.29639	-0.81396	0.17676
0.29736	-0.87256	0.25684
0.30615	-0.87842	0.22363
0.35449	-0.9082	0.23633
0.32715	-0.91016	0.24316
0.33984	-0.90723	0.25146
0.33984	-0.90234	0.22021
0.3291	-0.9541	0.21729
0.32812	-0.98975	0.19873
0.32471	-1.03271	0.21875
0.33691	-1.104	0.23828
0.35791	-1.12305	0.28418
0.37305	-1.11963	0.30762
0.3916	-1.09473	0.32715
0.39941	-1.06348	0.3374
0.3999	-1.01074	0.33301
0.40283	-0.92236	0.31006
0.38086	-0.85742	0.30176
0.354	-0.79346	0.28955
0.33545	-0.78174	0.26855
0.32861	-0.77051	0.25391
0.30859	-0.79053	0.26221
0.32324	-0.79687	0.2627
0.30566	-0.8623	0.27588
0.33203	-0.89648	0.30078
0.3335	-0.93701	0.3208
0.32812	-0.94727	0.34961
0.33789	-0.95068	0.36133
0.31885	-0.93799	0.33496
0.31885	-0.92285	0.32031
0.30371	-0.8667	0.30566
0.31055	-0.82764	0.28809
0.29932	-0.78467	0.27881
0.31689	-0.75	0.29492
0.3374	-0.73975	0.30762
0.3457	-0.7251	0.29736
0.33398	-0.75488	0.3042
0.34473	-0.75244	0.29492
0.35059	-0.7583	0.28467
0.35889	-0.76172	0.2793
0.35205	-0.78271	0.28369
0.33789	-0.79639	0.2793
0.3457	-0.81104	0.29004
0.35156	-0.81152	0.28271
0.31592	-0.82812	0.30029
0.31152	-0.85449	0.30176
0.32764	-0.87891	0.30225
0.32422	-0.90527	0.28955
0.34229	-0.91992	0.27588
0.36865	-0.95166	0.26904
0.35742	-1.00391	0.28027
0.37451	-1.06592	0.25781
0.38037	-1.09619	0.27148
0.40234	-1.19385	0.27881
0.39014	-1.18359	0.2915
0.40576	-1.20459	0.30078
0.42969	-1.20703	0.29834
0.42334	-1.16895	0.29932
0.42871	-1.14014	0.27148
0.43066	-1.17725	0.2251
0.44043	-1.24756	0.21875
0.44531	-1.30957	0.23779
0.50684	-1.30811	0.25586
0.5127	-1.2749	0.27686
0.52441	-1.20996	0.29102
0.53271	-1.13818	0.29736
0.51318	-1.0293	0.27979
0.50977	-0.95996	0.24756
0.48486	-0.9126	0.229
0.45508	-0.87939	0.21973
0.4209	-0.86377	0.20508
0.39551	-0.86279	0.2085
0.38477	-0.87012	0.19971
0.37256	-0.90283	0.21973
0.35547	-0.92773	0.22705
0.35107	-0.94434	0.23535
0.32324	-0.9707	0.23535
0.31396	-0.98828	0.2583
0.32764	-0.98047	0.26025
0.30566	-0.95557	0.2583
0.31934	-0.97461	0.25293
0.29639	-0.93652	0.23486
0.25977	-0.93604	0.23389
0.25342	-0.92773	0.21631
0.24805	-0.92676	0.19873
0.26611	-0.91504	0.21533
0.27881	-0.90625	0.21289
0.28271	-0.91113	0.21191
0.25342	-0.9209	0.2085
0.28125	-0.92334	0.20557
0.26611	-0.92334	0.20361
0.27637	-0.91064	0.19092
0.26025	-0.90381	0.19092
0.28271	-0.88818	0.19385
0.27881	-0.86084	0.19238
0.27881	-0.84521	0.19629
0.24756	-0.8252	0.24219
0.21484	-0.8042	0.20654
0.24414	-0.77734	0.22998
0.18799	-0.79248	0.21289
0.22363	-0.79883	0.15234
0.15332	-0.81299	0.17578
0.20166	-0.80225	0.20166
0.24316	-0.82959	0.16357
0.29736	-0.88477	0.16357
0.33057	-0.92822	0.2251
0.30273	-0.89893	0.2085
0.2998	-1.021	0.23926
0.38574	-1.00342	0.23193
0.34277	-1.00342	0.2417
0.35791	-0.9834	0.23633
0.35352	-0.92822	0.21631
0.34863	-0.93115	0.20654
0.26221	-0.92334	0.17627
0.32422	-1.02539	0.2207
0.36865	-0.98926	0.23584
0.37695	-1.0127	0.25928
0.38867	-1.02637	0.2749
0.37598	-1.01416	0.29443
0.38916	-0.97314	0.28174
0.38184	-0.89453	0.25732
0.37109	-0.82617	0.24902
0.35156	-0.74902	0.2168
0.33789	-0.74902	0.18896
0.32471	-0.74463	0.18262
0.33594	-0.74707	0.18359
0.34668	-0.79395	0.20703
0.35693	-0.8291	0.2168
0.37109	-0.896	0.23437
0.38232	-0.93066	0.25342
0.39795	-0.96436	0.28564
0.41846	-0.96729	0.29492
0.39795	-0.95361	0.28418
0.375	-0.92969	0.29639
0.34229	-0.9082	0.30859
0.34521	-0.87402	0.29248
0.31689	-0.8457	0.28271
0.30469	-0.82861	0.27002
0.29736	-0.80615	0.28467
0.27832	-0.78613	0.25977
0.27881	-0.79883	0.25635
0.29395	-0.79443	0.25098
0.30957	-0.79932	0.25
0.32129	-0.81348	0.25928
0.33447	-0.81982	0.27051
0.3457	-0.81592	0.26172
0.354	-0.8833	0.26855
0.3623	-0.85352	0.25879
0.3584	-0.88525	0.2627
0.37305	-0.90625	0.26367
0.35742	-0.91455	0.25439
0.354	-0.92187	0.25781
0.37354	-0.98193	0.23926
0.37158	-0.9873	0.23584
0.37695	-1.02588	0.24561
0.39893	-1.06055	0.23828
0.39746	-1.09717	0.25
0.40625	-1.10645	0.25342
0.42725	-1.12744	0.24902
0.41455	-1.12744	0.25244
0.42773	-1.10498	0.25391
0.4375	-1.08057	0.25928
0.40967	-1.04883	0.26123
0.41113	-1.01172	0.2627
0.42041	-1.0332	0.22705
0.40332	-1.07373	0.25293
0.42969	-1.12891	0.27881
0.45752	-1.1543	0.31982
0.46582	-1.18555	0.36816
0.47998	-1.15576	0.39844
0.47021	-1.10107	0.38574
0.43555	-1.05762	0.32324
0.42969	-1.00537	0.25928
0.40771	-0.96631	0.21582
0.37354	-0.94775	0.22119
0.36035	-0.94824	0.21582
0.34473	-0.95459	0.23291
0.33594	-0.98926	0.23975
0.33643	-1.02002	0.2583
0.3501	-1.0332	0.2749
0.37012	-1.05273	0.28418
0.38477	-1.03955	0.28516
0.37988	-1.04199	0.25439
0.35937	-1.00439	0.24609
0.38281	-0.98389	0.23926
0.37451	-0.95361	0.22607
0.33789	-0.92969	0.2041
0.31982	-0.90723	0.19678
0.31445	-0.86572	0.20801
0.32666	-0.88818	0.21387
0.32275	-0.86914	0.2207
0.31689	-0.86621	0.23291
0.2915	-0.87061	0.22607
0.29053	-0.86377	0.22852
0.271	-0.86768	0.21924
0.26172	-0.86621	0.21436
0.24805	-0.85889	0.19971
0.24414	-0.8418	0.19922
0.25781	-0.84082	0.19482
0.26367	-0.81738	0.19629
0.22266	-0.81885	0.18115
0.2168	-0.82471	0.24609
0.27783	-0.78174	0.24951
0.23437	-0.77539	0.27148
0.25293	-0.80615	0.20605
0.14209	-0.84277	0.19434
0.22852	-0.83154	0.18652
0.1582	-0.87012	0.17432
0.11523	-0.86328	0.2002
0.29492	-0.91309	0.18359
0.23193	-0.98242	0.24023
0.24463	-1.03711	0.24268
0.25928	-1.02832	0.25439
0.28271	-0.99854	0.26562
0.2832	-1.0	0.26807
0.27344	-0.96436	0.26904
0.28613	-0.95801	0.22852
0.25635	-0.95361	0.19824
0.26562	-0.98145	0.21582
0.30762	-1.03857	0.21973
0.26318	-1.04053	0.25732
0.38721	-1.12598	0.25928
0.39941	-1.08398	0.28955
0.34326	-1.03467	0.2832
0.36328	-0.92969	0.25488
0.5752	-0.95117	0.20557
0.27637	-0.85742	0.28125
0.33789	-0.8252	0.25293
0.36035	-0.84814	0.26514
0.33643	-0.88818	0.26318
0.32959	-0.97949	0.29248
0.31934	-1.04785	0.31201
0.33936	-1.0918	0.3208
0.33789	-1.08594	0.3374
0.32861	-1.03418	0.32764
0.31885	-0.99561	0.32715
0.3042	-0.93604	0.32129
0.26611	-0.87793	0.32764
0.22412	-0.8374	0.33398
0.24365	-0.77051	0.31104
0.23633	-0.70996	0.29736
0.26318	-0.69824	0.27783
0.25879	-0.69434	0.271
0.27246	-0.72461	0.27588
0.28027	-0.73828	0.26416
0.33154	-0.74756	0.27539
0.33643	-0.78418	0.27051
0.34033	-0.80908	0.26514
0.35693	-0.83545	0.25977
0.35303	-0.85352	0.24707
0.35645	-0.86523	0.26172
0.35498	-0.87988	0.2583
0.36035	-0.88037	0.25488
0.35693	-0.90527	0.2627
0.35742	-0.90039	0.26465
0.35205	-0.89893	0.2583
0.3418	-0.88818	0.25146
0.36719	-0.89307	0.24316
0.36377	-0.90674	0.23437
0.38721	-0.92285	0.23926
0.396	-0.95752	0.22803
0.39844	-1.00781	0.24854
0.41846	-1.04102	0.26025
0.42773	-1.0752	0.2749
0.45752	-1.09619	0.29248
0.44824	-1.10254	0.30762
0.45947	-1.08496	0.29834
0.45264	-1.08789	0.28271
0.43701	-1.11182	0.25537
0.43848	-1.20215	0.25195
0.44678	-1.26318	0.27051
0.45996	-1.31738	0.30322
0.48096	-1.32178	0.34326
0.4707	-1.30225	0.36621
0.46729	-1.23682	0.37256
0.45605	-1.16113	0.35254
0.42432	-1.06445	0.30713
0.41699	-0.98633	0.27441
0.39453	-0.92871	0.25391
0.38135	-0.87402	0.22559
0.37354	-0.84961	0.21924
0.36768	-0.85693	0.22754
0.37793	-0.875	0.22559
0.37549	-0.92725	0.22998
0.36377	-0.97803	0.25
0.36768	-1.03027	0.2417
0.36328	-1.0625	0.24854
0.35596	-1.07422	0.24902
0.32568	-1.07617	0.25146
0.32959	-1.06641	0.25244
0.32568	-1.04053	0.24463
0.30713	-1.01709	0.24756
0.27783	-0.98877	0.23437
0.25244	-0.95703	0.22021
0.2627	-0.9375	0.18359
0.24219	-0.93604	0.17041
0.21826	-0.92285	0.14502
0.21045	-0.90576	0.15283
0.13086	-0.91113	0.19092
0.34668	-0.86084	0.12598
0.25684	-0.86865	0.11035
0.34473	-0.94824	0.15918
0.31104	-0.87354	0.18262
0.23145	-0.85107	0.19287
0.33643	-0.86426	0.15723
0.41064	-0.77637	0.13135
0.16943	-0.92822	0.11035
0.20312	-0.81787	0.14062
0.23975	-0.78174	0.12158
0.25146	-0.79199	0.08887
0.23145	-0.76807	0.1709
0.28906	-0.79102	0.18506
0.26172	-0.76025	0.16309
0.31982	-0.79687	0.16064
0.29053	-0.81494	0.16064
0.33057	-0.83398	0.15674
0.28662	-0.84521	0.16357
0.31592	-0.86133	0.18262
0.31396	-0.87793	0.20166
0.3335	-0.90186	0.21436
0.36426	-0.91797	0.26807
0.31201	-0.9165	0.24854
0.34863	-0.96436	0.2168
0.18555	-1.01904	0.30664
0.52393	-1.11328	0.15283
0.37012	-1.14307	0.22998
0.2627	-1.0918	0.24316
0.37988	-1.14746	0.271
0.34521	-1.04102	0.28027
0.29541	-0.98975	0.31299
0.4585	-0.94775	0.28809
0.37451	-0.87891	0.28369
0.35449	-0.78125	0.28906
0.36572	-0.99805	0.31006
0.45508	-0.84424	0.23926
0.23193	-0.85254	0.24854
0.41357	-0.95215	0.24609
0.34229	-0.95654	0.26709
0.37744	-0.92773	0.26953
0.3374	-0.96973	0.2749
0.34717	-0.95801	0.28613
0.3374	-0.92871	0.30225
0.34229	-0.92236	0.27441
0.30518	-0.87549	0.26611
0.30518	-0.8418	0.25098
0.31104	-0.80762	0.22363
0.31689	-0.84082	0.23389
0.31787	-0.80225	0.2207
0.34424	-0.77051	0.21143
0.33447	-0.79297	0.21631
0.34766	-0.79395	0.21045
0.34717	-0.80615	0.21094
0.36963	-0.81445	0.21387
0.3584	-0.82324	0.2207
0.38086	-0.84473	0.2334
0.36426	-0.85937	0.21387
0.32666	-0.88867	0.25684
0.31445	-0.91846	0.25
0.36084	-0.89062	0.25928
0.3457	-0.8667	0.24414
0.37109	-0.94287	0.26172
0.34863	-0.90771	0.24902
0.35791	-0.96631	0.25049
0.36182	-1.0166	0.26074
0.3623	-1.01611	0.26221
0.36621	-1.06348	0.24805
0.35791	-1.0791	0.23584
0.35596	-1.11084	0.24854
0.38574	-1.0874	0.22852
0.39307	-1.10303	0.23242
0.39062	-1.07813	0.22656
0.40967	-1.05518	0.2168
0.40918	-1.00732	0.21631
0.40771	-0.97119	0.21436
0.3999	-0.99609	0.18799
0.41748	-1.0752	0.18311
0.43945	-1.13623	0.21387
0.46729	-1.22363	0.25146
0.45557	-1.21973	0.2998
0.48779	-1.25391	0.33252
0.48486	-1.20459	0.37744
0.47607	-1.12842	0.34814
0.4541	-1.06982	0.30176
0.4375	-1.02441	0.25635
0.40283	-0.979	0.21289
0.37158	-0.94531	0.17822
0.35547	-0.91357	0.17285
0.34668	-0.93213	0.18066
0.3418	-0.94043	0.19092
0.34717	-0.96582	0.20508
0.35059	-1.00928	0.22998
0.36426	-1.01758	0.25342
0.35693	-1.04736	0.2627
0.375	-1.04492	0.25928
0.35645	-1.03711	0.25146
0.36914	-1.00879	0.23145
0.34229	-0.97803	0.20312
0.33008	-0.95068	0.18115
0.33887	-0.92676	0.16113
0.3291	-0.9248	0.1543
0.29736	-0.90918	0.1582
0.28076	-0.89648	0.1792
0.26367	-0.90137	0.20215
0.25488	-0.89893	0.21533
0.25244	-0.88574	0.20605
0.26611	-0.89014	0.21631
0.2627	-0.88721	0.18213
0.24658	-0.86719	0.18701
0.26025	-0.85156	0.17725
0.28223	-0.84668	0.18213
0.30029	-0.82959	0.18066
0.29199	-0.87451	0.20557
0.29932	-0.79736	0.18262
0.28955	-0.79932	0.15479
0.24365	-0.80029	0.14502
0.3042	-0.79785	0.15918
0.26855	-0.7876	0.15137
0.39648	-0.87012	0.14258
0.24756	-0.74463	0.1626
0.28564	-0.80908	0.17773
0.27734	-0.84912	0.15723
0.30957	-0.90723	0.22412
0.30664	-0.93164	0.22607
0.32959	-0.96826	0.22559
0.31348	-1.00391	0.23145
0.33447	-0.97363	0.23242
0.3501	-0.97559	0.22217
0.33301	-1.02148	0.21436
0.26465	-1.0332	0.31201
0.29785	-1.09766	0.2168
0.35986	-1.06348	0.22607
0.47607	-1.06641	0.23535
0.35986	-0.99756	0.30273
0.35254	-0.97852	0.28467
0.39844	-0.91211	0.31299
0.38623	-0.80127	0.29883
0.37988	-0.75879	0.28467
0.36426	-0.73291	0.27441
0.35693	-0.729	0.24902
0.3501	-0.75049	0.23682
0.34326	-0.77637	0.24023
0.34473	-0.83936	0.25049
0.36084	-0.90479	0.26514
0.354	-0.94971	0.29883
0.35352	-0.99463	0.31445
0.34375	-1.00098	0.33643
0.34814	-0.9873	0.32959
0.32373	-0.96875	0.32324
0.30664	-0.94922	0.30859
0.31055	-0.91895	0.30957
0.29639	-0.88135	0.30273
0.2959	-0.84766	0.29932
0.29346	-0.81299	0.28564
0.29199	-0.79883	0.28418
0.30615	-0.77832	0.26416
0.3125	-0.77588	0.27246
0.32568	-0.80029	0.26514
0.34961	-0.79932	0.27393
0.33496	-0.81348	0.27686
0.37109	-0.83838	0.2627
0.36035	-0.85547	0.27295
0.37158	-0.89014	0.28418
0.37158	-0.89355	0.2793
0.37012	-0.91797	0.27637
0.36084	-0.93408	0.27441
0.36572	-0.94189	0.26562
0.35352	-0.94189	0.26709
0.34619	-0.96289	0.26318
0.35352	-0.94531	0.26855
0.33838	-0.93408	0.25098
0.36963	-1.01123	0.25049
0.36377	-1.00293	0.24707
0.37549	-1.02881	0.25781
0.38721	-1.04736	0.26611
0.42676	-1.05908	0.2666
0.41748	-1.05029	0.26611
0.41992	-1.03174	0.2666
0.42432	-1.01123	0.25391
0.41748	-1.00342	0.2207
0.41162	-1.0791	0.18066
0.43604	-1.15332	0.20508
0.44238	-1.2417	0.21533
0.46338	-1.28418	0.25293
0.48291	-1.33496	0.28906
0.4873	-1.32373	0.32812
0.48291	-1.25488	0.35693
0.46973	-1.15137	0.30664
0.46484	-1.06006	0.24609
0.44092	-1.02539	0.21582
0.43018	-0.95557	0.18848
0.40918	-0.90088	0.18213
0.39258	-0.89062	0.19336
0.38818	-0.90137	0.2085
0.39795	-0.91309	0.21973
0.41162	-0.9248	0.23096
0.40283	-0.96045	0.23633
0.38574	-0.99316	0.24658
0.39209	-1.01465	0.24219
0.35596	-0.99658	0.23633
0.36377	-0.97168	0.2207
0.35596	-0.97168	0.21338
0.33496	-0.93945	0.20166
0.3042	-0.91504	0.20361
0.28418	-0.91113	0.1958
0.26807	-0.89551	0.19287
0.26807	-0.87061	0.20605
0.26221	-0.89648	0.19531
0.2793	-0.88428	0.2002
0.27539	-0.89844	0.18945
0.26416	-0.88623	0.17383
0.27441	-0.87598	0.17822
0.27686	-0.88037	0.1709
0.25781	-0.89795	0.22412
0.27979	-0.83008	0.23779
0.20947	-0.82861	0.18164
0.24512	-0.80615	0.125
0.25049	-0.78516	0.14746
0.28027	-0.8667	0.19336
0.12891	-0.72998	0.22314
0.21143	-0.77393	0.19482
0.35986	-0.74414	0.18457
0.28857	-0.78467	0.16406
0.34912	-0.80957	0.19043
0.32568	-0.79932	0.17187
0.33789	-0.82568	0.18311
0.32666	-0.87256	0.18945
0.33252	-0.9248	0.19824
0.33301	-0.94141	0.20215
0.3252	-0.93262	0.21875
0.34082	-0.95605	0.22266
0.36084	-0.96729	0.25732
0.35156	-0.95361	0.24756
0.35937	-0.98584	0.24951
0.39453	-0.99609	0.23486
0.36377	-0.98779	0.24512
0.38574	-1.01904	0.23389
0.36572	-1.02637	0.24951
0.37207	-1.00635	0.25439
0.37451	-0.9834	0.2749
0.37109	-0.95947	0.29883
0.35693	-0.89697	0.31055
0.3584	-0.86084	0.29346
0.354	-0.82959	0.28564
0.31592	-0.80371	0.26709
0.32471	-0.82471	0.25732
0.30811	-0.854	0.2417
0.31787	-0.89844	0.24463
0.32227	-0.94971	0.25977
0.33984	-0.98828	0.28662
